City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Barmer,IN,25.75,71.3833,95.65,37,0,12.57,clear sky
1,Mataura,NZ,-46.1927,168.8643,49.48,94,100,9.17,light rain
2,Sept-Iles,CA,50.2001,-66.3821,55.83,68,20,4.61,few clouds
3,Upernavik,GL,72.7868,-56.1549,30.24,74,3,8.61,clear sky
4,Charleston,US,32.7766,-79.9309,77.02,96,90,6.76,overcast clouds
5,Khatanga,RU,71.9667,102.5,38.05,69,100,11.9,light rain
6,Hobart,AU,-42.8794,147.3294,60.66,63,75,8.01,light rain
7,Butaritari,KI,3.0707,172.7902,83.28,67,99,2.93,overcast clouds
8,Ushuaia,AR,-54.8,-68.3,29.86,93,40,5.75,scattered clouds
9,Rikitea,PF,-23.1203,-134.9692,74.71,74,44,13.04,scattered clouds
10,Iquique,CL,-20.2208,-70.1431,60.84,79,69,3.29,broken clouds
11,Chernyshkovskiy,RU,48.4219,42.2308,58.55,97,98,10.76,overcast clouds
12,Chokurdakh,RU,70.6333,147.9167,84.2,23,94,19.22,overcast clouds
13,Roma,US,43.2128,-75.4557,66.65,86,20,0.0,few clouds
14,Georgetown,MY,5.4112,100.3354,89.53,76,40,1.01,scattered clouds
15,Kieta,PG,-6.2167,155.6333,82.54,74,57,3.18,light rain
16,Bluff,NZ,-46.6,168.3333,49.8,82,100,20.87,overcast clouds
17,Tasiilaq,GL,65.6145,-37.6368,38.39,94,100,3.09,light rain
18,Westport,US,41.1415,-73.3579,66.49,96,20,1.01,mist
19,Taoudenni,ML,22.6783,-3.9836,92.16,20,68,14.56,broken clouds
20,Nardaran,AZ,40.5561,50.0056,74.84,53,0,21.39,clear sky
21,Cam Ranh,VN,11.9214,109.1591,96.76,46,20,10.45,few clouds
22,Saint Pete Beach,US,27.7253,-82.7412,78.03,81,100,3.0,overcast clouds
23,Castro,BR,-24.7911,-50.0119,55.38,88,0,4.72,clear sky
24,Airai,TL,-8.9266,125.4092,69.87,64,89,3.42,overcast clouds
25,Klaksvik,FO,62.2266,-6.589,50.92,91,40,11.59,scattered clouds
26,Busselton,AU,-33.65,115.3333,70.05,69,97,10.56,overcast clouds
27,Kaitangata,NZ,-46.2817,169.8464,55.92,67,100,8.93,overcast clouds
28,Thompson,CA,55.7435,-97.8558,48.36,93,90,2.3,overcast clouds
29,Vaini,TO,-21.2,-175.2,71.76,78,20,2.3,few clouds
30,Mackay,AU,-21.15,149.2,74.68,56,2,14.97,clear sky
31,Albany,US,42.6001,-73.9662,63.99,91,6,3.83,clear sky
32,Te Anau,NZ,-45.4167,167.7167,50.18,91,98,6.02,overcast clouds
33,Jiuquan,CN,39.7432,98.5174,92.57,6,54,14.65,broken clouds
34,Mayumba,GA,-3.432,10.6554,75.74,91,55,6.24,broken clouds
35,Bengkulu,ID,-3.8004,102.2655,79.77,79,99,8.43,overcast clouds
36,Parvatipuram,IN,18.7833,83.4333,97.97,42,26,3.51,scattered clouds
37,Pitimbu,BR,-7.4706,-34.8086,72.19,82,43,8.7,scattered clouds
38,Tuatapere,NZ,-46.1333,167.6833,49.82,87,99,9.04,overcast clouds
39,Yellowknife,CA,62.456,-114.3525,52.32,87,75,2.3,broken clouds
40,Inirida,CO,3.8653,-67.9239,73.45,98,100,2.28,overcast clouds
41,East London,ZA,-33.0153,27.9116,49.14,71,0,8.05,clear sky
42,Seoul,KR,37.5683,126.9778,79.99,57,20,13.2,few clouds
43,Itarema,BR,-2.9248,-39.9167,76.24,83,4,11.48,clear sky
44,Kruisfontein,ZA,-34.0033,24.7314,48.31,58,0,6.42,clear sky
45,Laishevo,RU,55.4046,49.5504,66.42,65,20,12.68,few clouds
46,Ornskoldsvik,SE,63.2909,18.7153,59.95,77,75,3.18,broken clouds
47,College,US,64.8569,-147.8028,67.98,46,40,9.22,scattered clouds
48,Mount Gambier,AU,-37.8333,140.7667,57.11,94,75,18.41,light rain
49,Kununurra,AU,-15.7667,128.7333,82.38,24,57,13.8,broken clouds
50,Tura,IN,25.5198,90.2201,86.2,71,23,8.12,few clouds
51,Emerald,AU,-23.5333,148.1667,71.74,35,0,11.5,clear sky
52,Sangar,RU,63.9242,127.4739,83.75,23,71,12.77,broken clouds
53,Omboue,GA,-1.5746,9.2618,76.28,91,65,2.98,broken clouds
54,Leningradskiy,RU,69.3833,178.4167,35.53,96,84,6.93,broken clouds
55,Arraial Do Cabo,BR,-22.9661,-42.0278,72.0,87,1,15.1,clear sky
56,Port Alfred,ZA,-33.5906,26.891,55.92,56,2,7.0,clear sky
57,Laguna Beach,US,33.5423,-117.7831,68.2,84,75,5.99,broken clouds
58,Camacha,PT,33.0833,-16.3333,61.56,72,40,10.36,scattered clouds
59,Shimoda,JP,34.6667,138.95,78.12,73,78,8.3,broken clouds
60,Grindavik,IS,63.8424,-22.4338,46.87,93,75,15.52,broken clouds
61,Jackson,US,42.4165,-122.8345,71.47,37,1,4.61,clear sky
62,Nipawin,CA,53.3668,-104.0009,60.84,51,1,8.05,clear sky
63,Jalu,LY,29.0331,21.5482,75.85,27,0,14.0,clear sky
64,Seredka,RU,58.1584,28.1858,67.75,53,73,2.21,broken clouds
65,Omsukchan,RU,62.5333,155.8,46.9,56,22,14.58,few clouds
66,Jamestown,US,42.097,-79.2353,69.39,82,75,5.75,broken clouds
67,Daru,PG,-9.0763,143.2092,79.7,76,99,11.86,overcast clouds
68,Victoria,HK,22.2855,114.1577,86.97,80,100,3.31,overcast clouds
69,Guerrero Negro,MX,27.9769,-114.0611,62.94,83,74,13.18,broken clouds
70,Srednekolymsk,RU,67.45,153.6833,76.15,19,89,18.63,overcast clouds
71,Dikson,RU,73.5069,80.5464,30.74,95,100,10.47,overcast clouds
72,Kirensk,RU,57.7853,108.1119,56.12,95,100,2.75,light rain
73,Puerto Ayora,EC,-0.7393,-90.3518,72.55,90,85,1.99,overcast clouds
74,Kavieng,PG,-2.5744,150.7967,84.18,73,43,7.36,scattered clouds
75,Katete,UG,-0.7818,29.7544,72.27,54,73,0.98,broken clouds
76,Vila Franca Do Campo,PT,37.7167,-25.4333,61.21,84,100,4.0,overcast clouds
77,Punta Arenas,CL,-53.15,-70.9167,32.11,93,90,6.98,mist
78,Hermanus,ZA,-34.4187,19.2345,54.9,72,0,10.36,clear sky
79,Husavik,IS,66.0449,-17.3389,48.11,98,100,1.23,light rain
80,Fougamou,GA,-1.2154,10.5838,73.67,97,71,0.6,broken clouds
81,Nicoya,CR,10.1483,-85.452,74.75,85,24,2.71,few clouds
82,Kedrovyy,RU,56.1667,91.8167,43.21,94,100,10.33,light rain
83,Bonthe,SL,7.5264,-12.505,78.84,86,82,3.74,moderate rain
84,Hami,CN,42.8,93.45,85.15,24,100,17.36,overcast clouds
85,Lakhimpur,IN,27.95,80.7667,103.62,20,66,6.76,broken clouds
86,Cape Town,ZA,-33.9258,18.4232,55.11,93,0,3.74,clear sky
87,Saskylakh,RU,71.9167,114.0833,39.74,69,93,12.33,overcast clouds
88,Syracuse,IT,37.0881,15.2792,76.62,54,58,3.58,broken clouds
89,Saint Anthony,US,45.0205,-93.218,84.22,41,1,8.01,clear sky
90,Progreso,MX,21.2833,-89.6667,80.06,74,88,11.7,overcast clouds
91,Odienne,CI,9.51,-7.5692,74.89,83,2,3.33,clear sky
92,Rawson,AR,-43.3002,-65.1023,44.89,60,0,13.24,clear sky
93,Sao Filipe,CV,14.8961,-24.4956,74.23,74,33,13.04,scattered clouds
94,Brigantine,US,39.4101,-74.3646,68.27,98,1,8.66,clear sky
95,Mengyin,CN,35.7069,117.9264,90.46,20,62,3.78,broken clouds
96,Vao,NC,-22.6667,167.4833,73.45,72,93,7.14,overcast clouds
97,Mayo,US,38.8876,-76.5119,72.1,94,1,3.0,clear sky
98,Ucluelet,CA,48.9329,-125.5528,53.1,93,100,5.88,overcast clouds
99,Avarua,CK,-21.2078,-159.775,71.65,100,90,4.61,heavy intensity rain
100,Tambacounda,SN,13.7539,-13.7586,78.85,73,20,9.01,few clouds
101,Cabo San Lucas,MX,22.8909,-109.9124,84.81,52,8,12.24,clear sky
102,Nouadhibou,MR,20.931,-17.0347,67.98,60,1,23.02,clear sky
103,Ahuimanu,US,21.4447,-157.8378,80.31,64,1,12.66,clear sky
104,Kamenka,RU,51.3223,42.7678,53.28,96,100,11.95,overcast clouds
105,Hithadhoo,MV,-0.6,73.0833,82.56,73,100,13.73,moderate rain
106,Bay Roberts,CA,47.5999,-53.2648,55.51,96,100,7.0,overcast clouds
107,Alekseyevka,RU,50.6309,38.6903,55.9,98,100,8.57,overcast clouds
108,Nara,JP,34.6851,135.8049,76.5,31,96,5.7,overcast clouds
109,Green River,US,41.5286,-109.4662,73.8,38,67,4.5,broken clouds
110,Saint George,US,37.1041,-113.5841,90.19,16,1,3.0,clear sky
111,Qui Nhon,VN,13.7667,109.2333,88.81,65,54,9.13,broken clouds
112,New Norfolk,AU,-42.7826,147.0587,60.3,80,100,4.0,light rain
113,Arman,RU,59.7,150.1667,42.24,90,100,10.85,light rain
114,Salalah,OM,17.0151,54.0924,86.79,65,80,10.98,broken clouds
115,Srivardhan,IN,18.0333,73.0167,85.69,70,86,5.01,overcast clouds
116,Cherskiy,RU,68.75,161.3,71.8,25,100,15.82,overcast clouds
117,Hilo,US,19.7297,-155.09,77.29,77,75,4.61,broken clouds
118,Clyde River,CA,70.4692,-68.5914,30.43,93,90,12.66,light snow
119,Vila,PT,42.0304,-8.1588,45.48,89,4,3.96,clear sky
120,Deputatskiy,RU,69.3,139.9,77.4,27,100,23.31,overcast clouds
121,Nantucket,US,41.2835,-70.0995,62.1,99,90,11.5,mist
122,Aykhal,RU,66.0,111.5,49.08,35,100,19.75,overcast clouds
123,Severo-Kurilsk,RU,50.6789,156.125,42.13,93,100,17.31,light rain
124,Nosy Varika,MG,-20.5833,48.5333,74.68,74,14,4.41,few clouds
125,Bambous Virieux,MU,-20.3428,57.7575,78.22,78,40,18.75,scattered clouds
126,Dezful,IR,32.3811,48.4058,111.2,6,1,8.5,clear sky
127,El Cobre,CU,20.0489,-75.9469,73.56,92,12,2.06,few clouds
128,Kudahuvadhoo,MV,2.6708,72.8944,83.43,74,100,18.3,overcast clouds
129,Asau,RO,46.4333,26.4,64.96,53,75,1.92,broken clouds
130,Jha Jha,IN,24.7667,86.3667,106.39,21,2,10.83,clear sky
131,Chapais,CA,49.7834,-74.8492,56.98,94,100,10.33,overcast clouds
132,Bubaque,GW,11.2833,-15.8333,79.25,82,82,12.28,broken clouds
133,Alyangula,AU,-13.8483,136.4192,78.67,53,40,15.12,scattered clouds
134,Ballina,AU,-28.8667,153.5667,68.18,64,40,16.11,scattered clouds
135,Cidreira,BR,-30.1811,-50.2056,65.01,87,56,5.82,broken clouds
136,Saint-Philippe,RE,-21.3585,55.7679,80.19,80,42,12.28,scattered clouds
137,Bredasdorp,ZA,-34.5322,20.0403,53.28,100,0,3.83,clear sky
138,Bethel,US,41.3712,-73.414,65.08,92,6,2.55,clear sky
139,Tripoli,LY,32.8752,13.1875,72.84,54,74,15.61,broken clouds
140,Santa Margherita Ligure,IT,44.3346,9.212,71.53,68,18,1.99,light rain
141,Nikolskoye,RU,59.7035,30.7861,65.39,47,49,3.65,scattered clouds
142,Fortuna,US,40.5982,-124.1573,55.42,69,1,5.75,clear sky
143,Zhigansk,RU,66.7697,123.3711,44.55,77,100,4.59,overcast clouds
144,Isangel,VU,-19.55,169.2667,80.71,65,75,4.88,broken clouds
145,Oktyabrskiy,RU,54.4815,53.471,62.26,50,65,10.04,broken clouds
146,Lata,PT,40.1629,-8.3327,55.72,71,12,3.58,few clouds
147,Ishige,JP,36.1167,139.9667,78.91,64,99,7.2,overcast clouds
148,Iskateley,RU,67.6803,53.1512,53.6,51,96,10.54,overcast clouds
149,Kenai,US,60.5544,-151.2583,60.89,71,1,10.36,clear sky
150,Kloulklubed,PW,7.0419,134.2556,78.98,83,100,4.74,overcast clouds
151,Bismarck,US,46.8083,-100.7837,75.04,51,1,0.0,clear sky
152,Brae,GB,60.3964,-1.353,53.51,82,89,8.46,overcast clouds
153,Mora,CM,11.0461,14.1401,81.99,50,95,5.35,overcast clouds
154,Lorengau,PG,-2.0226,147.2712,85.17,68,27,5.44,scattered clouds
155,Alofi,NU,-19.0595,-169.9187,75.09,78,82,10.36,broken clouds
156,Atuona,PF,-9.8,-139.0333,79.39,79,40,18.79,scattered clouds
157,Morro Bay,US,35.3658,-120.8499,65.75,87,33,4.45,scattered clouds
158,Kamaishi,JP,39.2667,141.8833,77.95,59,98,9.08,overcast clouds
159,Dali,CN,25.7,100.1833,78.15,47,66,2.21,broken clouds
160,Dunedin,NZ,-45.8742,170.5036,54.81,64,100,5.01,light rain
161,Mar Del Plata,AR,-38.0023,-57.5575,53.1,89,99,1.01,mist
162,Lubumbashi,CD,-11.6609,27.4794,59.49,88,0,5.75,clear sky
163,Coquimbo,CL,-29.9533,-71.3436,56.93,94,90,3.24,overcast clouds
164,Tiznit,MA,29.5833,-9.5,57.7,88,36,1.05,scattered clouds
165,Visby,SE,57.6409,18.296,63.05,51,4,0.0,clear sky
166,Pineville,US,31.3224,-92.4343,73.69,91,90,4.7,moderate rain
167,Aransas Pass,US,27.9095,-97.15,78.8,88,1,1.99,clear sky
168,Kapaa,US,22.0752,-159.319,77.32,76,90,13.67,overcast clouds
169,Vyshneve,UA,50.3891,30.3705,66.16,52,0,6.71,clear sky
170,Namie,JP,37.4833,141.0,82.54,72,60,1.01,broken clouds
171,Santa Cruz,BO,-17.8,-63.1667,71.06,100,40,14.5,scattered clouds
172,Wattegama,LK,6.7989,81.4808,85.12,50,100,4.27,overcast clouds
173,Narsaq,GL,60.9167,-46.05,42.28,64,100,5.64,overcast clouds
174,Babstovo,RU,48.1167,132.4833,62.31,71,93,8.57,light rain
175,Katobu,ID,-4.9408,122.5276,88.21,54,87,8.93,overcast clouds
176,Vanimo,PG,-2.6741,141.3028,76.75,90,100,6.82,moderate rain
177,Buenos Aires,AR,-34.6132,-58.3772,58.98,88,75,14.97,moderate rain
178,Kokopo,PG,-4.352,152.2633,83.25,77,34,3.62,light rain
179,Kodiak,US,57.79,-152.4072,58.51,44,1,13.8,clear sky
180,Port Augusta,AU,-32.5,137.7667,66.7,42,75,3.83,broken clouds
181,Chakulia,IN,22.4833,86.7167,97.12,31,5,10.42,clear sky
182,Egvekinot,RU,66.3167,-179.1667,37.09,72,23,2.98,few clouds
183,Mahebourg,MU,-20.4081,57.7,78.26,78,40,12.66,scattered clouds
184,Padang,ID,-0.9492,100.3543,78.35,90,100,6.26,light rain
185,Yulara,AU,-25.2406,130.9889,67.84,32,0,10.36,clear sky
186,Barrancabermeja,CO,7.0653,-73.8547,74.34,97,99,1.63,overcast clouds
187,Sao Gabriel Da Cachoeira,BR,-0.1303,-67.0892,71.47,98,77,0.4,broken clouds
188,Atar,MR,20.5169,-13.0499,84.16,24,71,13.27,broken clouds
189,Port Macquarie,AU,-31.4333,152.9167,62.56,57,8,8.68,clear sky
190,Japura,ID,-0.3167,102.35,91.36,52,100,5.53,overcast clouds
191,Richards Bay,ZA,-28.783,32.0377,59.22,74,44,9.22,scattered clouds
192,Manggar,ID,-2.8833,108.2667,86.92,65,9,10.47,clear sky
193,Burgersdorp,ZA,-30.9977,26.3286,39.83,33,0,3.76,clear sky
194,Iqaluit,CA,63.7506,-68.5145,35.33,74,90,13.0,light snow
195,Kiunga,PG,-6.1219,141.2906,73.17,99,100,0.43,overcast clouds
196,Misratah,LY,32.3754,15.0925,71.2,67,58,8.41,broken clouds
197,Samarai,PG,-10.6167,150.6667,77.16,90,100,9.66,overcast clouds
198,Altamont,US,42.2068,-121.7372,67.84,40,1,14.97,clear sky
199,Ampanihy,MG,-24.7,44.75,69.37,71,23,8.01,few clouds
200,Ahipara,NZ,-35.1667,173.1667,59.94,77,100,13.22,light rain
201,Kyabe,TD,9.4515,18.9449,81.16,59,86,5.53,overcast clouds
202,Carnarvon,AU,-24.8667,113.6333,78.87,34,19,6.91,few clouds
203,Fairbanks,US,64.8378,-147.7164,68.0,46,40,6.91,scattered clouds
204,Sioux Lookout,CA,50.1001,-91.917,71.98,68,75,3.44,broken clouds
205,Port Elizabeth,ZA,-33.918,25.5701,43.09,93,0,2.3,clear sky
206,Ribeira Grande,PT,38.5167,-28.7,63.07,88,98,6.82,overcast clouds
207,Tanda,IN,26.55,82.65,104.7,23,57,9.24,broken clouds
208,Souillac,MU,-20.5167,57.5167,78.37,78,40,16.08,scattered clouds
209,Sepatan,ID,-6.1189,106.575,96.26,66,20,8.99,few clouds
210,Kirkwall,GB,58.9848,-2.9587,50.05,93,40,0.0,mist
211,Nanortalik,GL,60.1432,-45.2371,38.77,81,100,3.89,overcast clouds
212,Bilma,NE,18.6853,12.9164,91.22,13,75,8.08,broken clouds
213,Tuktoyaktuk,CA,69.4541,-133.0374,33.8,93,90,17.27,overcast clouds
214,Faanui,PF,-16.4833,-151.75,81.12,74,77,8.63,light rain
215,Wanning,CN,18.8003,110.3967,86.14,77,84,7.47,moderate rain
216,Chiang Mai,TH,18.75,99.0,96.91,61,40,1.99,scattered clouds
217,Duluth,US,46.7833,-92.1066,82.98,47,1,6.91,clear sky
218,Mayya,RU,61.7333,130.2811,85.32,21,4,9.82,clear sky
219,Wanaka,NZ,-44.7,169.15,47.71,95,92,9.42,light rain
220,Korla,CN,41.7597,86.1469,90.32,13,22,3.74,few clouds
221,Buin,CL,-33.7333,-70.75,61.74,89,72,3.91,broken clouds
222,Ketchikan,US,55.3422,-131.6461,48.67,93,90,13.8,light rain
223,Chama,CH,47.1821,8.4636,64.62,90,90,1.01,overcast clouds
224,Vitre,FR,48.1178,-1.2058,48.02,88,0,5.08,clear sky
225,Tamandare,BR,-8.7597,-35.1047,73.98,86,7,3.09,clear sky
226,Dongsheng,CN,39.8161,109.9776,77.83,10,0,12.37,clear sky
227,San Francisco,US,37.7749,-122.4194,60.82,85,20,1.99,few clouds
228,Selkirk,CA,50.1436,-96.8845,69.87,93,22,4.14,few clouds
229,North Bend,US,43.4065,-124.2243,54.86,83,55,2.68,broken clouds
230,Bontang,ID,0.1333,117.5,84.67,71,34,7.83,scattered clouds
231,Urusha,RU,54.05,122.9,75.63,22,3,7.02,clear sky
